model,train_type,train_data,architecture,model_class,task_cluster,model_display_name,description,model_source,model_source_url,weights_url,model_string,compare_training,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_goal_expertise,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
fixated_pose,taskonomy,taskonomy,resnet50,Convolutional,Geometric,Camera Pose (Fixated),Relative camera pose with matching optical centers.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,,fixated_pose_taskonomy,,,,fixated_pose,Geometric,,,,,
inpainting,taskonomy,taskonomy,resnet50,Convolutional,2D,Inpainting,Filling in masked center of image.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,,inpainting_taskonomy,,,,inpainting,2D,,,,,
jigsaw,taskonomy,taskonomy,resnet50,Convolutional,Geometric,Jigsaw,Putting scrambled image pieces back together.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,,jigsaw_taskonomy,,,,jigsaw,Geometric,,,,,
keypoints2d,taskonomy,taskonomy,resnet50,Convolutional,2D,2D Keypoints,Keypoint estimation from RGB-only (texture features).,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,,keypoints2d_taskonomy,,,,keypoints2d,2D,,,,,
keypoints3d,taskonomy,taskonomy,resnet50,Convolutional,3D,3D Keypoints,3D Keypoint estimation from underlying scene 3D.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,,keypoints3d_taskonomy,,,,keypoints3d,3D,,,,,
nonfixated_pose,taskonomy,taskonomy,resnet50,Convolutional,Geometric,Camera Pose (Nonfixated),Relative camera pose with distinct optical centers.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,,nonfixated_pose_taskonomy,,,,nonfixated_pose,Geometric,,,,,
normal,taskonomy,taskonomy,resnet50,Convolutional,3D,Surface Normals,Pixel-wise surface normals.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,,normal_taskonomy,,,,normal,3D,,,,,
point_matching,taskonomy,taskonomy,resnet50,Convolutional,Geometric,Point Matching,Classifying if centers of two images match or not.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,,point_matching_taskonomy,,,,point_matching,Geometric,,,,,
reshading,taskonomy,taskonomy,resnet50,Convolutional,3D,Reshading,Reshading with new lighting placed at camera location.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,,reshading_taskonomy,,,,reshading,3D,,,,,
room_layout,taskonomy,taskonomy,resnet50,Convolutional,Geometric,Room Layout,Orientation and aspect ratio of cubic room layout.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,,room_layout_taskonomy,,,,room_layout,Geometric,,,,,
segment_semantic,taskonomy,taskonomy,resnet50,Convolutional,Semantic,Semantic Segmentation,Pixel-wise semantic labeling (via knowledge distillation from MS COCO).,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,,segment_semantic_taskonomy,,,,segment_semantic,Semantic,,,,,
segment_unsup25d,taskonomy,taskonomy,resnet50,Convolutional,3D,Unsupervised 2.5D Segmentation,Segmentation (graph cut approximation) on RGB-D-Normals-Curvature image.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,,segment_unsup25d_taskonomy,,,,segment_unsup25d,3D,,,,,
segment_unsup2d,taskonomy,taskonomy,resnet50,Convolutional,2D,Unsupervised 2D Segmentation,Segmentation (graph cut approximation) on RGB.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,,segment_unsup2d_taskonomy,,,,segment_unsup2d,2D,,,,,
vanishing_point,taskonomy,taskonomy,resnet50,Convolutional,Geometric,Vanishing Point,Three Manhattan-world vanishing points.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,,vanishing_point_taskonomy,,,,vanishing_point,Geometric,,,,,
random_weights,taskonomy,,resnet50,Convolutional,Random,Random Weights,Taskonomy architecture randomly initialized.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,,random_weights_taskonomy,,,,random_weights,Random,,,,,
coat_lite_tiny,classification,imagenet,coat_lite_tiny,Transformer,Semantic,CoaT-Lite-Tiny,CoaT-Lite-Tiny trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,coat_lite_tiny_classification,classification,Transformer,,,,,,,,
convit_base,classification,imagenet,convit_base,Hybrid,Semantic,ConViT-B,ConViT-B trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,convit_base_classification,classification,Hybrid,,,,,,,,
convit_tiny,classification,imagenet,convit_tiny,Hybrid,Semantic,ConViT-T,ConViT-T trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,convit_tiny_classification,classification,Hybrid,,,,,,,,
convmixer_768_32,classification,imagenet,convmixer_768_32,Hybrid,Semantic,ConvMixer-768-32,ConvMixer-768-32 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,convmixer_768_32_classification,classification,Hybrid,,,,,,,,
convnext_base,classification,imagenet,convnext_base,Convolutional,Semantic,ConvNext-B,ConvNext-B trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,convnext_base_classification,classification,Convolutional,,,,,,,,imagenet
convnext_large,classification,imagenet,convnext_large,Convolutional,Semantic,ConvNext-L,ConvNext-L trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,convnext_large_classification,classification,Convolutional,,,,,,,,imagenet
crossvit_base_240,classification,imagenet,crossvit_base_240,Transformer,Semantic,CrossViT-B,CrossViT-B trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,crossvit_base_240_classification,classification,Transformer,,,,,,,,
deit_base_patch16_224,classification,imagenet,deit_base_patch16_224,Transformer,Semantic,DeiT-B-P16-224,DeiT-B-P16-224 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,deit_base_patch16_224_classification,classification,Transformer,,,,,,,,
cspresnet50,classification,imagenet,cspresnet50,Convolutional,Semantic,CSP-ResNet50,CSP-ResNet50 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,cspresnet50_classification,classification,Convolutional,,,,,,,,
dla34,classification,imagenet,dla34,Convolutional,Semantic,DLA34,DLA34 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,dla34_classification,classification,Convolutional,,,,,,,,
eca_nfnet_l0,classification,imagenet,eca_nfnet_l0,Convolutional,Semantic,ECA-NFNeT-L0,ECA-NFNeT-L0 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,eca_nfnet_l0_classification,classification,Convolutional,,,,,,,,
efficientnet_b1,classification,imagenet,efficientnet_b1,Convolutional,Semantic,EfficientNet-B1,EfficientNet-B1 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,efficientnet_b1_classification,classification,Convolutional,,,,,,,,
efficientnet_b3,classification,imagenet,efficientnet_b3,Convolutional,Semantic,EfficientNet-B3,EfficientNet-B3 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,efficientnet_b3_classification,classification,Convolutional,,,,,,,,
ghostnet_100,classification,imagenet,ghostnet_100,Convolutional,Semantic,GhostNet100,GhostNet100 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,ghostnet_100_classification,classification,Convolutional,,,,,,,,
gmixer_24_224,classification,imagenet,gmixer_24_224,Convolutional,Semantic,GMixer-24,GMixer-24 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,gmixer_24_224_classification,classification,Convolutional,,,,,,,,
gmlp_s16_224,classification,imagenet,gmlp_s16_224,Convolutional,Semantic,GMLP-S16,GMLP-S16 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,gmlp_s16_224_classification,classification,Convolutional,,,,,,,,
hardcorenas_a,classification,imagenet,hardcorenas_a,Convolutional,Semantic,HardCoreNAS-A,HardCoreNAS-A trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,hardcorenas_a_classification,classification,Convolutional,,,,,,,,
hardcorenas_f,classification,imagenet,hardcorenas_f,Convolutional,Semantic,HardCoreNAS-F,HardCoreNAS-F trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,hardcorenas_f_classification,classification,Convolutional,,,,,,,,
jx_nest_tiny,classification,imagenet,jx_nest_tiny,Transformer,Semantic,JX-NesT-Tiny,JX-NesT-Tiny trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,jx_nest_tiny_classification,classification,Transformer,,,,,,,,
levit_128,classification,imagenet,levit_128,Transformer,Semantic,LeViT128,LeViT128 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,levit_128_classification,classification,Transformer,,,,,,,,
inception_v3,classification,imagenet,inception_v3,Convolutional,Semantic,Inception-V3,Inception-V3 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,inception_v3_classification,classification,Convolutional,,,,,,,,
mixer_b16_224,classification,imagenet,mixer_b16_224,MLP-Mixer,Semantic,MLP-Mixer-B16,MLP-Mixer-B16 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,mixer_b16_224_classification,classification,MLP-Mixer,,,,,,,,imagenet
mixer_l16_224,classification,imagenet,mixer_l16_224,MLP-Mixer,Semantic,MLP-Mixer-L16,MLP-Mixer-L16 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,mixer_l16_224_classification,classification,MLP-Mixer,,,,,,,,imagenet
mobilenetv3_large_100,classification,imagenet,mobilenetv3_large_100,Convolutional,Semantic,MobileNet-V3-Large,MobileNet-V3-Large trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,mobilenetv3_large_100_classification,classification,Convolutional,,,,,,,,
nf_resnet50,classification,imagenet,nf_resnet50,Convolutional,Semantic,NF-ResNet50,NF-ResNet50 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,nf_resnet50_classification,classification,Convolutional,,,,,,,,
nfnet_l0,classification,imagenet,nfnet_l0,Convolutional,Semantic,NF-Net-L0,NF-Net-L0 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,nfnet_l0_classification,classification,Convolutional,,,,,,,,
pit_b_224,classification,imagenet,pit_b_224,Transformer,Semantic,PiT-B-224,PiT-B-224 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,pit_b_224_classification,classification,Transformer,,,,,,,,
pit_ti_224,classification,imagenet,pit_ti_224,Transformer,Semantic,PiT-T-224,PiT-T-224 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,pit_ti_224_classification,classification,Transformer,,,,,,,,
poolformer_s36,classification,imagenet,poolformer_s36,Transformer,Semantic,PoolFormer-S36,PoolFormer-S36 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,poolformer_s36_classification,classification,Transformer,,,,,,,,
pit_ti_224,classification,imagenet,pit_ti_224,Transformer,Semantic,PiT-T-224,PiT-T-224 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,pit_ti_224_classification,classification,Transformer,,,,,,,,
regnetx_064,classification,imagenet,regnetx_064,Convolutional,Semantic,RegNetX-64,RegNetX-64 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,regnetx_064_classification,classification,Convolutional,,,,,,,,
regnety_064,classification,imagenet,regnety_064,Convolutional,Semantic,RegNetY-64,RegNetY-64 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,regnety_064_classification,classification,Convolutional,,,,,,,,
resmlp_12_224,classification,imagenet,resmlp_12_224,MLP-Mixer,Semantic,ResMLP-12,ResMLP-12 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,resmlp_12_224_classification,classification,MLP-Mixer,,,,,,,,
resmlp_24_224,classification,imagenet,resmlp_24_224,MLP-Mixer,Semantic,ResMLP-24,ResMLP-24 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,resmlp_24_224_classification,classification,MLP-Mixer,,,,,,,,
resmlp_36_224,classification,imagenet,resmlp_36_224,MLP-Mixer,Semantic,ResMLP-36,ResMLP-36 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,resmlp_36_224_classification,classification,MLP-Mixer,,,,,,,,
resmlp_big_24_224,classification,imagenet,resmlp_big_24_224,MLP-Mixer,Semantic,ResMLP-Big-24,ResMLP-Big-24 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,resmlp_big_24_224_classification,classification,MLP-Mixer,,,,,,,,imagenet
semnasnet_100,classification,imagenet,semnasnet_100,Convolutional,Semantic,SemNASNet100,SemNASNet100 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,semnasnet_100_classification,classification,Convolutional,,,,,,,,
seresnext50_32x4d,classification,imagenet,seresnext50_32x4d,Convolutional,Semantic,SEResNext50-32x4D,SEResNext50-32x4D trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,seresnext50_32x4d_classification,classification,Convolutional,,,,,,,,
skresnext50_32x4d,classification,imagenet,skresnext50_32x4d,Convolutional,Semantic,SKResNext50-32x4D,SKResNext50-32x4D trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,skresnext50_32x4d_classification,classification,Convolutional,,,,,,,,
swin_base_patch4_window7_224,classification,imagenet,swin_base_patch4_window7_224,Transformer,Semantic,Swin-B-P4-W7,Swin-B-P4-W7 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,swin_base_patch4_window7_224_classification,classification,Transformer,,,,,,,,imagenet
swin_large_patch4_window7_224,classification,imagenet,swin_large_patch4_window7_224,Transformer,Semantic,Swin-L-P4-W7,Swin-L-P4-W7 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,swin_large_patch4_window7_224_classification,classification,Transformer,,,,,,,,imagenet
swin_tiny_patch4_window7_224,classification,imagenet,swin_tiny_patch4_window7_224,Transformer,Semantic,Swin-T-P4-W7,Swin-T-P4-W7 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,swin_tiny_patch4_window7_224_classification,classification,Transformer,,,,,,,,
tnt_s_patch16_224,classification,imagenet,tnt_s_patch16_224,Transformer,Semantic,TnT-P16-224,TnT-P16-224 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,tnt_s_patch16_224_classification,classification,Transformer,,,,,,,,
visformer_small,classification,imagenet,visformer_small,Transformer,Semantic,Visformer,Visformer trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,visformer_small_classification,classification,Transformer,,,,,,,,
vit_large_patch16_224,classification,imagenet,vit_large_patch16_224,Transformer,Semantic,ViT-L-P16,ViT-L-P16 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,vit_large_patch16_224_classification,classification,Transformer,,,,,,,,imagenet
vit_small_patch16_224,classification,imagenet,vit_small_patch16_224,Transformer,Semantic,ViT-S-P16,ViT-S-P16 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,vit_small_patch16_224_classification,classification,Transformer,,,,,,,,imagenet
vit_tiny_patch16_224,classification,imagenet,vit_tiny_patch16_224,Transformer,Semantic,ViT-T-P16,ViT-T-P16 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,vit_tiny_patch16_224_classification,classification,Transformer,,,,,,,,
vit_base_patch16_224,classification,imagenet,vit_base_patch16_224,Transformer,Semantic,ViT-B-P16,ViT-B-P16 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,vit_base_patch16_224_classification,classification,Transformer,,,,,,,,imagenet
vit_base_patch32_224,classification,imagenet,vit_base_patch32_224,Transformer,Semantic,ViT-B-P32,ViT-B-P32 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,vit_base_patch32_224_classification,classification,Transformer,,,,,,,,imagenet
vit_small_patch32_224,classification,imagenet,vit_small_patch32_224,Transformer,Semantic,ViT-S-P32,ViT-S-P32 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,vit_small_patch32_224_classification,classification,Transformer,,,,,,,,imagenet
xception,classification,imagenet,xception,Convolutional,Semantic,XCeption,XCeption trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,xception_classification,classification,Convolutional,,,,,,,,
xcit_nano_12_p8_224,classification,imagenet,xcit_nano_12_p8_224,Transformer,Semantic,XCIT-N-12-P8,XCIT-N-12-P8 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,xcit_nano_12_p8_224_classification,classification,Transformer,,,,,,,,
xcit_nano_12_p16_224,classification,imagenet,xcit_nano_12_p16_224,Transformer,Semantic,XCIT-N-12-P16,XCIT-N-12-P16 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,xcit_nano_12_p16_224_classification,classification,Transformer,,,,,,,,
coat_lite_tiny,random,,coat_lite_tiny,Transformer,Semantic,CoaT-Lite-Tiny,"CoaT-Lite-Tiny randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,coat_lite_tiny_random,random,,,,,,,,,
convit_base,random,,convit_base,Hybrid,Semantic,ConViT-B,"ConViT-B randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,convit_base_random,random,,,,,,,,,
convit_tiny,random,,convit_tiny,Hybrid,Semantic,ConViT-T,"ConViT-T randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,convit_tiny_random,random,,,,,,,,,
convmixer_768_32,random,,convmixer_768_32,Hybrid,Semantic,ConvMixer-768-32,"ConvMixer-768-32 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,convmixer_768_32_random,random,,,,,,,,,
convnext_base,random,,convnext_base,Convolutional,Semantic,ConvNext-B,"ConvNext-B randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,convnext_base_random,random,,,,,,,,,
convnext_large,random,,convnext_large,Convolutional,Semantic,ConvNext-L,"ConvNext-L randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,convnext_large_random,random,,,,,,,,,
crossvit_base_240,random,,crossvit_base_240,Transformer,Semantic,CrossViT-B,"CrossViT-B randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,crossvit_base_240_random,random,,,,,,,,,
deit_base_patch16_224,random,,deit_base_patch16_224,Transformer,Semantic,DeiT-B-P16-224,"DeiT-B-P16-224 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,deit_base_patch16_224_random,random,,,,,,,,,
cspresnet50,random,,cspresnet50,Convolutional,Semantic,CSP-ResNet50,"CSP-ResNet50 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,cspresnet50_random,random,,,,,,,,,
dla34,random,,dla34,Convolutional,Semantic,DLA34,"DLA34 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,dla34_random,random,,,,,,,,,
