"model_string","model","train_task","train_data","architecture","model_class","model_depth","display_name","description","total_feature_count","total_parameter_count","metric","score","compare_training","compare_architecture","compare_goal_slip","compare_goal_taskonomy_tasks","compare_goal_taskonomy_cluster","compare_goal_expertise","compare_diet_ipcl","compare_goal_selfsupervised","compare_goal_contrastive","compare_diet_imagenetsize"
"vit_base_patch32_224_random","vit_base_patch32_224","random",NA,"vit_base_patch32_224","Transformer",225,"ViT-B-P32","ViT-B-P32 randomly initialized, with no training.",13455632,88185064,"crsa",0.0523047757291328,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"jx_nest_tiny_random","jx_nest_tiny","random",NA,"jx_nest_tiny","Transformer",213,"JX-NesT-Tiny","JX-NesT-Tiny randomly initialized, with no training.",52424528,16530760,"crsa",0.0525605904987183,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"crossvit_base_240_random","crossvit_base_240","random",NA,"crossvit_base_240","Transformer",383,"CrossViT-B","CrossViT-B randomly initialized, with no training.",80095620,104718800,"crsa",0.0532017504662578,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"convit_base_random","convit_base","random",NA,"convit_base","Hybrid",219,"ConViT-B","ConViT-B randomly initialized, with no training.",61295088,86388584,"crsa",0.0532574336407786,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"visformer_small_random","visformer_small","random",NA,"visformer_small","Transformer",226,"Visformer","Visformer randomly initialized, with no training.",31879784,39956168,"crsa",0.0533708803416315,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"deit_base_patch16_224_random","deit_base_patch16_224","random",NA,"deit_base_patch16_224","Transformer",225,"DeiT-B-P16-224","DeiT-B-P16-224 randomly initialized, with no training.",57181664,86415592,"crsa",0.0545362985766866,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"resmlp_12_224_random","resmlp_12_224","random",NA,"resmlp_12_224","MLP-Mixer",150,"ResMLP-12","ResMLP-12 randomly initialized, with no training.",19269584,15322456,"crsa",0.0552525635097467,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"googlenet_random","googlenet","random",NA,"googlenet","Convolutional",197,"GoogleNet","GoogleNet randomly initialized, with no training.",12335584,6624904,"crsa",0.0564195073398748,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"densenet121_random","densenet121","random",NA,"densenet121","Convolutional",429,"DenseNet121","DenseNet121 randomly initialized, with no training.",41096144,7978856,"crsa",0.0566887004807191,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"poolformer_s36_random","poolformer_s36","random",NA,"poolformer_s36","Transformer",483,"PoolFormer-S36","PoolFormer-S36 randomly initialized, with no training.",78339280,30842792,"crsa",0.0574040880844803,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"resmlp_big_24_224_random","resmlp_big_24_224","random",NA,"resmlp_big_24_224","MLP-Mixer",294,"ResMLP-Big-24","ResMLP-Big-24 randomly initialized, with no training.",305874896,129026152,"crsa",0.0580344527462001,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"resmlp_24_224_random","resmlp_24_224","random",NA,"resmlp_24_224","MLP-Mixer",294,"ResMLP-24","ResMLP-24 randomly initialized, with no training.",38236112,29964616,"crsa",0.0586939909081681,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"resmlp_36_224_random","resmlp_36_224","random",NA,"resmlp_36_224","MLP-Mixer",438,"ResMLP-36","ResMLP-36 randomly initialized, with no training.",57202640,44606776,"crsa",0.0589731723077557,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"keypoints2d_taskonomy","keypoints2d","taskonomy","taskonomy","resnet50","Convolutional",179,"2D Keypoints","Keypoint estimation from RGB-only (texture features).",37564576,23655504,"crsa",0.0596281879803069,NA,NA,NA,"keypoints2d","2D",NA,NA,NA,NA,NA
"vit_tiny_patch16_224_random","vit_tiny_patch16_224","random",NA,"vit_tiny_patch16_224","Transformer",225,"ViT-T-P16","ViT-T-P16 randomly initialized, with no training.",14296916,5679400,"crsa",0.0607946342274088,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"denoising_taskonomy","denoising","taskonomy","taskonomy","resnet50","Convolutional",179,"Denoising","Uncorrupted version of corrupted image.",37564576,23655504,"crsa",0.0614605195964906,NA,NA,NA,"denoising","Other",NA,NA,NA,NA,NA
"jigsaw_taskonomy","jigsaw","taskonomy","taskonomy","resnet50","Convolutional",179,"Jigsaw","Putting scrambled image pieces back together.",37564576,23655504,"crsa",0.0620318807403845,NA,NA,NA,"jigsaw","Geometric",NA,NA,NA,NA,NA
"xception_random","xception","random",NA,"xception","Convolutional",204,"XCeption","XCeption randomly initialized, with no training.",52151632,22855952,"crsa",0.0630226772371374,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_texture_taskonomy","edge_texture","taskonomy","taskonomy","resnet50","Convolutional",179,"Texture Edges","Edges computed from RGB only (texture edges).",37564576,23655504,"crsa",0.0632708948734457,NA,NA,NA,"edge_texture","2D",NA,NA,NA,NA,NA
"swin_large_patch4_window7_224_random","swin_large_patch4_window7_224","random",NA,"swin_large_patch4_window7_224","Transformer",NA,"Swin-L-P4-W7","Swin-L-P4-W7 randomly initialized, with no training.",NA,NA,"crsa",0.0636480882278038,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gmlp_s16_224_random","gmlp_s16_224","random",NA,"gmlp_s16_224","Convolutional",366,"GMLP-S16","GMLP-S16 randomly initialized, with no training.",49876944,19422656,"crsa",0.0646245104712275,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"mnasnet1_0_random","mnasnet1_0","random",NA,"mnasnet1_0","Convolutional",158,"MNASNet1.0","MNASNet1.0 randomly initialized, with no training.",16172496,4383312,"crsa",0.0653426626922753,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"eca_nfnet_l0_random","eca_nfnet_l0","random",NA,"eca_nfnet_l0","Convolutional",184,"ECA-NFNeT-L0","ECA-NFNeT-L0 randomly initialized, with no training.",32555168,24111108,"crsa",0.0670492621045515,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"coat_lite_tiny_random","coat_lite_tiny","random",NA,"coat_lite_tiny","Transformer",279,"CoaT-Lite-Tiny","CoaT-Lite-Tiny randomly initialized, with no training.",36283152,5878632,"crsa",0.0673297713485153,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"vit_small_patch32_224_random","vit_small_patch32_224","random",NA,"vit_small_patch32_224","Transformer",225,"ViT-S-P32","ViT-S-P32 randomly initialized, with no training.",6728816,22859368,"crsa",0.0675088435305148,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"pit_b_224_random","pit_b_224","random",NA,"pit_b_224","Transformer",254,"PiT-B-224","PiT-B-224 randomly initialized, with no training.",66195824,73518568,"crsa",0.0679405818943177,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"convit_tiny_random","convit_tiny","random",NA,"convit_tiny","Hybrid",219,"ConViT-T","ConViT-T randomly initialized, with no training.",15325272,5672648,"crsa",0.0687689140852061,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"vit_small_patch16_224_random","vit_small_patch16_224","random",NA,"vit_small_patch16_224","Transformer",225,"ViT-S-P16","ViT-S-P16 randomly initialized, with no training.",28591832,21974632,"crsa",0.0688983402541362,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"mixer_b16_224_random","mixer_b16_224","random",NA,"mixer_b16_224","MLP-Mixer",210,"MLP-Mixer-B16","MLP-Mixer-B16 randomly initialized, with no training.",52766672,59880472,"crsa",0.0693588336528996,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"squeezenet1_0_random","squeezenet1_0","random",NA,"squeezenet1_0","Convolutional",66,"SqueezeNet1.0","SqueezeNet1.0 randomly initialized, with no training.",12033376,1248424,"crsa",0.0706880866805416,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"swin_base_patch4_window7_224_random","swin_base_patch4_window7_224","random",NA,"swin_base_patch4_window7_224","Transformer",NA,"Swin-B-P4-W7","Swin-B-P4-W7 randomly initialized, with no training.",NA,NA,"crsa",0.0710217708491109,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"mixer_l16_224_random","mixer_l16_224","random",NA,"mixer_l16_224","MLP-Mixer",414,"MLP-Mixer-L16","MLP-Mixer-L16 randomly initialized, with no training.",149342160,208196168,"crsa",0.0720664532952614,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"convnext_base_random","convnext_base","random",NA,"convnext_base","Convolutional",382,"ConvNext-B","ConvNext-B randomly initialized, with no training.",91729872,88573416,"crsa",0.0722350925578655,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gmixer_24_224_random","gmixer_24_224","random",NA,"gmixer_24_224","Convolutional",414,"GMixer-24","GMixer-24 randomly initialized, with no training.",41701328,24721096,"crsa",0.0731319883822192,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"convnext_large_random","convnext_large","random",NA,"convnext_large","Convolutional",382,"ConvNext-L","ConvNext-L randomly initialized, with no training.",137593808,197740264,"crsa",0.0735227676567837,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"tnt_s_patch16_224_random","tnt_s_patch16_224","random",NA,"tnt_s_patch16_224","Transformer",NA,"TnT-P16-224","TnT-P16-224 randomly initialized, with no training.",NA,NA,"crsa",0.0736280721806586,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"swin_tiny_patch4_window7_224_random","swin_tiny_patch4_window7_224","random",NA,"swin_tiny_patch4_window7_224","Transformer",NA,"Swin-T-P4-W7","Swin-T-P4-W7 randomly initialized, with no training.",NA,NA,"crsa",0.0742393565845669,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"autoencoding_taskonomy","autoencoding","taskonomy","taskonomy","resnet50","Convolutional",179,"Autoencoder","Image compression and decompression",37564576,23655504,"crsa",0.0766794642651252,NA,NA,NA,"autoencoding","2D",NA,NA,NA,NA,NA
"efficientnet_b3_random","efficientnet_b3","random",NA,"efficientnet_b3","Convolutional",492,"EfficientNet-B3","EfficientNet-B3 randomly initialized, with no training.",59058840,12233232,"crsa",0.0776257054185951,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"nfnet_l0_random","nfnet_l0","random",NA,"nfnet_l0","Convolutional",220,"NF-Net-L0","NF-Net-L0 randomly initialized, with no training.",32566496,35041672,"crsa",0.07988541093869,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"segment_unsup2d_taskonomy","segment_unsup2d","taskonomy","taskonomy","resnet50","Convolutional",179,"Unsupervised 2D Segmentation","Segmentation (graph cut approximation) on RGB.",37564576,23655504,"crsa",0.0808930437044785,NA,NA,NA,"segment_unsup2d","2D",NA,NA,NA,NA,NA
"nf_resnet50_random","nf_resnet50","random",NA,"nf_resnet50","Convolutional",151,"NF-ResNet50","NF-ResNet50 randomly initialized, with no training.",33527712,25530472,"crsa",0.0833226902598482,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"egomotion_taskonomy","egomotion","taskonomy","taskonomy","resnet50","Convolutional",179,"Egomotion","Odometry (camera poses) given three input images.",37564576,23655504,"crsa",0.0873840345132015,NA,NA,NA,"egomotion","Geometric",NA,NA,NA,NA,NA
"vanishing_point_taskonomy","vanishing_point","taskonomy","taskonomy","resnet50","Convolutional",179,"Vanishing Point","Three Manhattan-world vanishing points.",37564576,23655504,"crsa",0.0876787668773507,NA,NA,NA,"vanishing_point","Geometric",NA,NA,NA,NA,NA
"point_matching_taskonomy","point_matching","taskonomy","taskonomy","resnet50","Convolutional",179,"Point Matching","Classifying if centers of two images match or not.",37564576,23655504,"crsa",0.0934367868662969,NA,NA,NA,"point_matching","Geometric",NA,NA,NA,NA,NA
"nonfixated_pose_taskonomy","nonfixated_pose","taskonomy","taskonomy","resnet50","Convolutional",179,"Camera Pose (Nonfixated)","Relative camera pose with distinct optical centers.",37564576,23655504,"crsa",0.0949840851927135,NA,NA,NA,"nonfixated_pose","Geometric",NA,NA,NA,NA,NA
"inpainting_taskonomy","inpainting","taskonomy","taskonomy","resnet50","Convolutional",179,"Inpainting","Filling in masked center of image.",37564576,23655504,"crsa",0.095016333714225,NA,NA,NA,"inpainting","2D",NA,NA,NA,NA,NA
"fixated_pose_taskonomy","fixated_pose","taskonomy","taskonomy","resnet50","Convolutional",179,"Camera Pose (Fixated)","Relative camera pose with matching optical centers.",37564576,23655504,"crsa",0.0989262328214812,NA,NA,NA,"fixated_pose","Geometric",NA,NA,NA,NA,NA
"alexnet_gn_ipcl_vggface2_ipcl","alexnet_gn_ipcl_vggface2","ipcl","vggface2","alexnet_gn","Convolutional",NA,"AlexNet-GN-IPCLVGGFace2","AlexNet (modified with GroupNorm) trained via IPCL-Style-Self-Supervision on VGGFace2.",NA,NA,"crsa",0.101014602354822,NA,NA,NA,NA,NA,NA,"vggface2",NA,NA,NA
"depth_zbuffer_taskonomy","depth_zbuffer","taskonomy","taskonomy","resnet50","Convolutional",179,"Z-Buffer Depth","Depth estimation.",37564576,23655504,"crsa",0.131795050245562,NA,NA,NA,"depth_zbuffer","3D",NA,NA,NA,NA,NA
"curvature_taskonomy","curvature","taskonomy","taskonomy","resnet50","Convolutional",179,"Curvatures","Magnitude of 3D principal curvatures",37564576,23655504,"crsa",0.131913838120402,NA,NA,NA,"curvature","3D",NA,NA,NA,NA,NA
"room_layout_taskonomy","room_layout","taskonomy","taskonomy","resnet50","Convolutional",179,"Room Layout","Orientation and aspect ratio of cubic room layout.",37564576,23655504,"crsa",0.137072420129858,NA,NA,NA,"room_layout","Geometric",NA,NA,NA,NA,NA
"segment_semantic_taskonomy","segment_semantic","taskonomy","taskonomy","resnet50","Convolutional",179,"Semantic Segmentation","Pixel-wise semantic labeling (via knowledge distillation from MS COCO).",37564576,23655504,"crsa",0.1442811263009,NA,NA,NA,"segment_semantic","Semantic",NA,NA,NA,NA,NA
"class_scene_taskonomy","class_scene","taskonomy","taskonomy","resnet50","Convolutional",179,"Scene Classification","Scene Classification (via knowledge distillation from MIT Places).",37564576,23655504,"crsa",0.146553658871821,NA,NA,NA,"class_scene","Semantic",NA,NA,NA,NA,NA
"normal_taskonomy","normal","taskonomy","taskonomy","resnet50","Convolutional",179,"Surface Normals","Pixel-wise surface normals.",37564576,23655504,"crsa",0.153572558260563,NA,NA,NA,"normal","3D",NA,NA,NA,NA,NA
"reshading_taskonomy","reshading","taskonomy","taskonomy","resnet50","Convolutional",179,"Reshading","Reshading with new lighting placed at camera location.",37564576,23655504,"crsa",0.161052275206381,NA,NA,NA,"reshading","3D",NA,NA,NA,NA,NA
"edge_occlusion_taskonomy","edge_occlusion","taskonomy","taskonomy","resnet50","Convolutional",179,"Occlusion Edges","Edges which include parts of the scene.",37564576,23655504,"crsa",0.161763541809486,NA,NA,NA,"edge_occlusion","3D",NA,NA,NA,NA,NA
"keypoints3d_taskonomy","keypoints3d","taskonomy","taskonomy","resnet50","Convolutional",179,"3D Keypoints","3D Keypoint estimation from underlying scene 3D.",37564576,23655504,"crsa",0.16487126634867,NA,NA,NA,"keypoints3d","3D",NA,NA,NA,NA,NA
"segment_unsup25d_taskonomy","segment_unsup25d","taskonomy","taskonomy","resnet50","Convolutional",179,"Unsupervised 2.5D Segmentation","Segmentation (graph cut approximation) on RGB-D-Normals-Curvature image.",37564576,23655504,"crsa",0.17107190357517,NA,NA,NA,"segment_unsup25d","3D",NA,NA,NA,NA,NA
"depth_euclidean_taskonomy","depth_euclidean","taskonomy","taskonomy","resnet50","Convolutional",179,"Euclidean Depth","Depth estimation",37564576,23655504,"crsa",0.173323359615137,NA,NA,NA,"depth_euclidean","3D",NA,NA,NA,NA,NA
"class_object_taskonomy","class_object","taskonomy","taskonomy","resnet50","Convolutional",179,"Object Classification","1000-way object classification (via knowledge distillation from ImageNet).",37564576,23655504,"crsa",0.18923916050676,NA,NA,NA,"class_object","Semantic",NA,NA,NA,NA,NA
"MiDaS_monoculardepth","MiDaS","monoculardepth","ReDWeb,DIML,Movies,MegaDepth,WSVD,TartanAir,HRWSI,ApolloScape,BlendedMVS,IRS","MiDaS",NA,NA,"MiDaS","MiDaS, a monocular depth estimation model.",NA,NA,"crsa",0.199641580142373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mixer_l16_224_in21k_classification","mixer_l16_224_in21k","classification","imagenet21k","mixer_l16_224","MLP-Mixer",414,"Mixer-L16-IN22K","Mixer-L16-IN22K trained on image classification with the ImageNet21K dataset.",149383846,229560243,"crsa",0.234487758898889,NA,NA,NA,NA,NA,NA,NA,NA,NA,"imagenet21k"
"ResNet50-RotNet_selfsupervised","ResNet50-RotNet","selfsupervised","imagenet","ResNet50","Convolutional",175,"ResNet50-RotNet","ResNet50-RotNet, a self-supervised representation learner trained on ImageNet.",37562880,23508032,"crsa",0.238128720893577,NA,NA,NA,NA,NA,NA,NA,"RotNet","Non-Contrastive",NA
"alexnet_gn_ipcl_places256_ipcl","alexnet_gn_ipcl_places256","ipcl","places256","alexnet_gn","Convolutional",NA,"AlexNet-GN-IPCLPlaces256","AlexNet (modified with GroupNorm) trained via IPCL-Style-Self-Supervision on Places256.",NA,NA,"crsa",0.241788782168068,NA,NA,NA,NA,NA,NA,"places256",NA,NA,NA
"convnext_large_classification","convnext_large","classification","imagenet","convnext_large","Convolutional",382,"ConvNext-L","ConvNext-L trained on image classification with the ImageNet dataset.",137593808,197740264,"crsa",0.243149109916857,"classification","Convolutional",NA,NA,NA,NA,NA,NA,NA,"imagenet"
"alexnet_gn_ipcl_openimages_ipcl","alexnet_gn_ipcl_openimages","ipcl","openimages","alexnet_gn","Convolutional",NA,"AlexNet-GN-IPCLOpenImages","AlexNet (modified with GroupNorm) trained via IPCL-Style-Self-Supervision on OpenImages.",NA,NA,"crsa",0.249447991311561,NA,NA,NA,NA,NA,NA,"openimages",NA,NA,NA
"ResNet50-JigSaw-Goyal19_selfsupervised","ResNet50-JigSaw-Goyal19","selfsupervised","imagenet","ResNet50","Convolutional",175,"ResNet50-JigSaw-Goyal19","ResNet50-JigSaw-Goyal19, a self-supervised representation learner trained on ImageNet.",37562880,23508032,"crsa",0.256946126486895,NA,NA,NA,NA,NA,NA,NA,"JigSaw-Goyal19","Non-Contrastive",NA
"DPT_Hybrid_monoculardepth","DPT_Hybrid","monoculardepth","ReDWeb,DIML,Movies,MegaDepth,WSVD,TartanAir,HRWSI,ApolloScape,BlendedMVS,IRS","DPT_Hybrid","Transformer",584,"DPT-Hybrid","DPT-Hybrid, a monocular depth estimation model.",167515152,120753921,"crsa",0.265462834464265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ResNet50-MoCoV2-BS256_selfsupervised","ResNet50-MoCoV2-BS256","selfsupervised","imagenet","ResNet50","Convolutional",175,"ResNet50-MoCoV2-BS256","ResNet50-MoCoV2-BS256, a self-supervised representation learner trained on ImageNet.",37562880,23508032,"crsa",0.265504085415745,NA,NA,NA,NA,NA,NA,NA,"MoCoV2-BS256","Contrastive",NA
"ResNet50-JigSaw-P100_selfsupervised","ResNet50-JigSaw-P100","selfsupervised","imagenet","ResNet50","Convolutional",175,"ResNet50-JigSaw-P100","ResNet50-JigSaw-P100, a self-supervised representation learner trained on ImageNet.",37562880,23508032,"crsa",0.266665973391301,NA,NA,NA,NA,NA,NA,NA,"JigSaw-P100","Non-Contrastive",NA
"mixer_b16_224_in21k_classification","mixer_b16_224_in21k","classification","imagenet21k","mixer_b16_224","MLP-Mixer",210,"Mixer-B16-IN22K","Mixer-B16-IN22K trained on image classification with the ImageNet21K dataset.",52808358,75908739,"crsa",0.26864952533446,NA,NA,NA,NA,NA,NA,NA,NA,NA,"imagenet21k"
"pit_b_224_classification","pit_b_224","classification","imagenet","pit_b_224","Transformer",254,"PiT-B-224","PiT-B-224 trained on image classification with the ImageNet dataset.",66195824,73518568,"crsa",0.271826037119732,"classification","Transformer",NA,NA,NA,NA,NA,NA,NA,NA
"alexnet_gn_ipcl_imagenet_ipcl","alexnet_gn_ipcl_imagenet","ipcl","imagenet","alexnet_gn","Convolutional",NA,"AlexNet-GN-IPCLImageNet","AlexNet (modified with GroupNorm) trained via IPCL-Style-Self-Supervision on ImageNet.",NA,NA,"crsa",0.272191057577333,NA,NA,NA,NA,NA,NA,"imagenet",NA,NA,NA
